"Are you a human?","Do you live in Australia?","On a scale of 1 to 5, 5 being awesome how would you rate ##australia","On a scale of 1 to 5, 5 being awesome, how would you rate the channel operators of ##australia?","How many times have you been banned from ##australia?","How many bans is your household evading in ##australia?","p_stampy is ....","Please provide your gender","If possible, please provide an average date you started lurking in ##australia.","Which state do you live in?","Do you live in a capital city?","Do you fold or scrunch?","Which way do you prefer to have the toilet paper setup in the bathroom?","Do you sit or stand?","Have you ever connected to ##australia from a bathroom?","How would you rate the channel stats? 5 being awesome.","Are you in the top 25 stats?","Do you have a picture assigned to your name?","Do you have gender and/or a URL assigned to your name?","Please rank this survey. 5 being awesome.","Total time","Group time: Census","Group time: Toilet Use","Group time: IRC Stats","Group time: Finally...."
Yes,Yes,5,5,456445,4546456456,awesome.,Female,2010/07/16,WA,Yes,Scrunch,"Edge of roll facing the wall",Stand,Yes,1,N/A,N/A,N/A,5,1179.83,888.18,271.11,476.42,114.74
Yes,Yes,5,5,1,0,awesome.,Female,2010/01/01,VIC,Yes,Scrunch,"Edge of roll facing the wall",Stand,Yes,1,N/A,N/A,N/A,5,625.21,441.22,79.53,145.15,23.97
Yes,Yes,5,5,1,0,awesome.,Female,2010/01/01,VIC,Yes,Scrunch,"Edge of roll facing away",Stand,Yes,2,N/A,N/A,N/A,5,592.18,346.05,72.59,121.96,10.26
Yes,Yes,5,5,1,0,awesome.,Male,2009/12/10,VIC,Yes,Fold,"Edge of roll facing away",Stand,Yes,2,No,No,No,5,488.35,321.78,71.17,97.38,8.5
Yes,Yes,5,5,1,0,awesome.,Male,2009/08/11,TAS,Yes,Fold,"Edge of roll facing away",Sit,Yes,3,No,No,No,5,441.59,274.13,62.61,95.95,7.95
Yes,Yes,4,5,0,0,awesome.,Male,2009/06/01,TAS,Yes,Fold,"Edge of roll facing away",Sit,Yes,3,No,No,No,5,436.17,265.72,62.03,84.74,7.52
Yes,Yes,4,4,0,0,awesome.,Male,2009/02/02,TAS,Yes,Fold,"Edge of roll facing away",Sit,Yes,4,No,No,No,5,388.31,201.65,58,59.04,7.4
Yes,Yes,4,4,0,0,awesome.,Male,2009/01/23,TAS,Yes,Fold,"Edge of roll facing away",Sit,Yes,4,Yes,No,Yes,3,376.1,182.44,42.94,48.08,6.89
Yes,Yes,4,4,0,0,awesome.,Male,2008/05/08,SA,Yes,Fold,"Edge of roll facing away",Sit,No,4,Yes,No,Yes,3,311.98,157.86,42.12,44.05,6.61
Yes,Yes,4,4,0,0,,Male,2008/01/01,QLD,Yes,Fold,"Edge of roll facing away",Sit,No,4,Yes,Yes,Yes,2,287.85,93.69,29.9,41.24,6.2
Yes,Yes,4,4,0,0,,Male,2007/12/07,QLD,No,Fold,"Edge of roll facing away",Sit,No,5,Yes,Yes,Yes,2,232.75,84.25,28.25,29.24,6.07
Yes,Yes,4,3,0,0,,Male,2007/10/01,QLD,No,Fold,"Edge of roll facing away",Sit,No,5,Yes,Yes,Yes,1,176.5,73.34,26.07,27.91,6.06
Yes,Yes,4,3,0,0,,Male,2005/06/01,NSW,No,Fold,"Edge of roll facing away",Sit,No,5,Yes,Yes,Yes,1,141.39,67.98,24.78,14.99,5.21
Yes,Yes,3,1,0,0,,Male,2002/03/02,NSW,No,,,,No,5,Yes,Yes,Yes,1,132.93,61.86,23.99,14.9,4.45
Yes,Yes,3,1,0,0,,Male,1992/08/01,ACT,No,,,,No,5,Yes,Yes,Yes,,112.25,59.94,20.45,13.86,4.43
No,N/A,,,0,0,,Male,,,N/A,,,,No,5,Yes,Yes,Yes,,111.3,59.61,18.89,11.96,4.06
No,N/A,,,0,,,N/A,,,N/A,,,,N/A,,Yes,Yes,Yes,,102.7,51.47,15.01,11.5,3.64
No,N/A,,,,,,N/A,,,N/A,,,,N/A,,Yes,Yes,Yes,,75.65,39.27,13.88,10.59,0
No,N/A,,,,,,N/A,,,N/A,,,,N/A,,Yes,Yes,Yes,,19.79,9.81,3.53,2.81,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"If you are a Amateur radio operator please provide your call sign here.",,,,,,,,,,,,,,,,,,,,,,,,
vk5foss,,,,,,,,,,,,,,,,,,,,,,,,
VK7MADIQ,,,,,,,,,,,,,,,,,,,,,,,,
VK7NML,,,,,,,,,,,,,,,,,,,,,,,,
W9GFO,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"What religion do you partake in?",,,,,,,,,,,,,,,,,,,,,,,,
"Any that will let me violate it.",,,,,,,,,,,,,,,,,,,,,,,,
Atheism,,,,,,,,,,,,,,,,,,,,,,,,
Buddhism,,,,,,,,,,,,,,,,,,,,,,,,
Christianity,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,
GNU,,,,,,,,,,,,,,,,,,,,,,,,
Jedi,,,,,,,,,,,,,,,,,,,,,,,,
Sexipopolic,,,,,,,,,,,,,,,,,,,,,,,,
"the church of shut the hell up",,,,,,,,,,,,,,,,,,,,,,,,
